District,FY-14-15,FY-14-15_Capacity(kWp),FY-15-16,FY-15-16_Capacity(kWp),FY-16-17,FY-16-17_Capacity(kWp),FY-18-19,FY-18-19_Capacity_kWp,FY-19-20,FY-19-20_Capacity_kWp,FY-20-21,FY-20-21_Capacity__kWp,Total,Total_Capacity_kWp
Bokaro,348,26.1,0,0,208,15.6,672,50.4,0,0,292,21.9,1612.1,114
Chatra,141,10.575,17,1.275,0,0,0,0,275,11,272,20.4,727.85,43.25
Dhanbad,287,21.525,287,21.525,100,7.5,60,4.5,75,3,0,0,867.05,58.05
Garhwa,26,1.95,0,0,0,0,200,15,0,0,500,37.5,742.95,54.45
Giridih,175,13.125,365,27.375,0,0,30,2.25,0,0,43,3.225,655.75,45.975
Godda,91,6.825,0,0,0,0,45,3.375,0,0,0,0,146.2,10.2
Gumla,218,16.35,0,0,0,0,23,1.725,0,0,150,11.25,409.075,29.325
Hazaribagh,906,67.95,0,0,0,0,940,70.5,1057,42.28,34,2.55,3117.73,183.28
East Singhbhum,26,1.95,1052,78.9,0,0,0,0,0,0,1700,127.5,2858.85,208.35
Jamtara,29,2.175,0,0,0,0,0,0,210,8.4,0,0,249.575,10.575
Khunti,70,5.25,100,7.5,0,0,65,4.875,1079,43.16,223,16.725,1597.785,77.51
Koderma,117,8.775,0,0,162,12.15,165,12.375,0,0,14,1.05,491.3,34.35
Latehar,32,2.4,0,0,0,0,485,36.375,0,0,242,18.15,797.775,56.925
Palamu,27,2.025,0,0,230,17.25,208,15.6,0,0,77,5.775,576.875,40.65
Ranchi,514,38.55,516,38.7,0,0,466,34.95,800,32,170,12.75,2610.2,156.95
Saraikela Kharsawan,78,5.85,0,0,0,0,191,14.325,0,0,0,0,289.175,20.175
Simdega,78,5.85,551,41.325,0,0,136,10.2,0,0,1500,112.5,2322.375,169.875
West Singhbhum,0,0,0,0,0,0,249,18.675,0,0,175,13.125,442.675,31.8
Ramgarh,0,0,0,0,0,0,160,12,0,0,1033,77.475,1205,89.475
Lohardaga,0,0,0,0,0,0,39,2.925,0,0,1278,95.85,1319.925,98.775
Dumka,0,0,0,0,0,0,112,8.4,0,0,0,0,120.4,8.4
Sahebganj,0,0,0,0,0,0,100,7.5,0,0,0,0,107.5,7.5
Pakur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoghar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
