Dist,FY-14-15,FY-15-16,FY-16-17,FY-18-19,FY-19-20,FY-20-21,Total,,,
Pakur,0,0,0,0,0,0,0,,,
Deoghar,0,0,0,0,0,0,0,,,
Sahebganj,0,0,0,100,0,0,100,,,
Dumka,0,0,0,112,0,0,112,,,
Godda,91,0,0,45,0,0,136,,,
Jamtara,29,0,0,0,210,0,239,,,
Saraikela Kharsawan,78,0,0,191,0,0,269,,,
Gumla,218,0,0,23,0,150,391,,,
West Singhbhum,0,0,0,249,0,175,424,,,
Koderma,117,0,162,165,0,14,458,,,
Palamu,27,0,230,208,0,77,542,,,
Giridih,175,365,0,30,0,43,613,,,
Chatra,141,17,0,0,275,272,705,,,
Garhwa,26,0,0,200,0,500,726,,,
Latehar,32,0,0,485,0,242,759,,,
Dhanbad,287,287,100,60,75,0,809,,,
Ramgarh,0,0,0,160,0,1033,1193,,,
Lohardaga,0,0,0,39,0,1278,1317,,, 
Bokaro,348,0,208,672,0,292,1520,,,
Khunti,70,100,0,65,1079,223,1537,,,
Simdega,78,551,0,136,0,1500,2265,,,
Ranchi,514,516,0,466,800,170,2466,,,
East Singhbhum,26,1052,0,0,0,1700,2778,,,
Hazaribagh,906,0,0,940,1057,34,2937,,,
