S._No.,District,Nos._of_SWPs_Installed_2016-17,Nos._of_SWPs_Installed_2018-19,Nos._of_SWPs_Installed_2019-20_&_2020-21_(PM-KUSUM_Phase_I),"Nos._of_SWPs_Installed_2021-22_(PM-KUSUM
Phase_II)","Districtwise_solar
pump_installed_(Till_now)"
1,BOKARO,5,0,200,131,336
2,CHATRA,41,0,300,449,790
3,DEOGHAR,0,0,133,400,533
4,DHANBAD,0,0,270,0,270
5,DUMKA,1,0,229,155,385
6,EAST_SINGHBHUM,2,0,384,398,784
7,GARHWA,80,0,0,500,580
8,GIRIDIH,5,0,616,550,1171
9,GODDA,4,0,413,448,865
10,GUMLA,5,80,159,187,431
11,HAZARIBAGH,168,0,671,543,1382
12,JAMTARA,0,0,0,0,0
13,KHUNTI,1,285,513,295,1094
14,KODERMA,0,0,350,398,748
15,LATEHAR,0,0,161,0,161
16,LOHARDAGA,6,0,146,243,395
17,PAKUR,0,0,0,196,196
18,PALAMU,78,0,300,499,877
19,RAMGARH,15,0,200,313,528
20,RANCHI,44,0,351,306,701
21,SAHIBGANJ,0,18,153,0,171
22,SARAIKELA_KHARSAWAN,3,0,279,0,282
23,SIMDEGA,1,620,436,0,1057
24,WEST_SINGHBHUM,10,177,453,257,897
