S._No.,District,Total_Number_of_Building,Toatl_Capacity_Installed_(in_KWp)
1,Bokaro,98,1785
2,Chatra,108,1666
3,Deoghar,56,1294
4,Dhanbad,84,2224
5,Dumka,85,1870
6,East_Singhbhum,83,1588
7,Garhwa,85,1313
8,Giridih,115,2005
9,Godda,68,1295
10,Gumla,70,1415
11,Hazaribagh,86,2142
12,Jamtara,64,951
13,Khunti,38,821
14,Koderma,41,776
15,Latehar,51,797
16,Lohardaga,37,605
17,Pakur,39,711
18,Palamu,114,1861
19,Ramgarh,58,1022
20,Ranchi,240,7262
21,Sahibganj,64,1165
22,"Saraikela
Kharsawan",56,901
23,Simdega,71,1401
24,West_Singhbhum,120,2083
